0,247,Shellos,3,Metang,3,Mantyke,3,Kingler,3,Doublade,3,Zigzagoon,2,Weedle,2,Wartortle,2,Typhlosion,2,Tsareena,2,Tangela,2,Starmie,2,Smoochum,2,Slugma,2,Slaking,2,Remoraid,2,Purrloin,2,Piplup,2,Pineco,2,Phanpy,2,Nosepass,2,Munna,2,Misdreavus,2,Mime Jr.,2,Metapod,2,Meowstic-M,2,Luxray,2,Lickitung,2,Lairon,2,Houndour,2,Happiny,2,Gyarados,2,Golisopod,2,Frogadier,2,Froakie,2,Frillish,2,Ekans,2,Drilbur,2,Dratini,2,Doduo,2,Clamperl,2,Chatot,2,Carvanha,2,Bibarel,2,Beartic,2,Baltoy,2,Araquanid,2,Aipom,2,Zangoose,1,Yungoos,1,Yanmega,1,Yamask,1,Wurmple,1,Wobbuffet,1,Wishiwashi,1,Wigglytuff,1,Weepinbell,1,Wailmer,1,Vullaby,1,Vileplume,1,Vigoroth,1,Vaporeon,1,Vanilluxe,1,Umbreon,1,Tyranitar,1,Type: Null,1,Turtonator,1,Treecko,1,Trapinch,1,Toucannon,1,Totodile,1,Torterra,1,Torchic,1,Togetic,1,Togepi,1,Tauros,1,Talonflame,1,Sylveon,1,Swanna,1,Swampert,1,Sunkern,1,Sudowoodo,1,Stunky,1,Stunfisk,1,Stufful,1,Staravia,1,Staraptor,1,Stantler,1,Squirtle,1,Spinarak,1,Solosis,1,Snorlax,1,Snivy,1,Slowbro,1,Slakoth,1,Skitty,1,Skiploom,1,Skarmory,1,Silvally,1,Silcoon,1,Shroomish,1,Shiinotic,1,Shelmet,1,Shellder,1,Shedinja,1,Serperior,1,Seedot,1,Seaking,1,Scatterbug,1,Sandile,1,Salazzle,1,Salandit,1,Roselia,1,Ribombee,1,Pyroar,1,Purugly,1,Probopass,1,Porygon2,1,Poliwhirl,1,Poliwag,1,Pignite,1,Pidove,1,Pichu,1,Phantump,1,Pelipper,1,Parasect,1,Panpour,1,Pangoro,1,Pachirisu,1,Oricorio,1,Noctowl,1,Ninetales,1,Nincada,1,Natu,1,Murkrow,1,Munchlax,1,Mr. Mime,1,Morelull,1,Minccino,1,Meowstic-F,1,Masquerain,1,Marowak,1,Marill,1,Mareanie,1,Manectric,1,Mamoswine,1,Makuhita,1,Magby,1,Machamp,1,Luxio,1,Lucario,1,Lotad,1,Litwick,1,Lillipup,1,Liepard,1,Larvitar,1,Lampent,1,Krookodile,1,Krabby,1,Koffing,1,Klefki,1,Kirlia,1,Kecleon,1,Kadabra,1,Kabuto,1,Joltik,1,Jellicent,1,Incineroar,1,Hypno,1,Hydreigon,1,Huntail,1,Horsea,1,Hoppip,1,Honchkrow,1,Hitmonchan,1,Heracross,1,Haunter,1,Hakamo-o,1,Gurdurr,1,Grovyle,1,Grotle,1,Greninja,1,Graveler,1,Gourgeist,1,Gothita,1,Goodra,1,Golurk,1,Gogoat,1,Gliscor,1,Gligar,1,Glameow,1,Glalie,1,Geodude,1,Garbodor,1,Gabite,1,Furret,1,Furfrou,1,Fraxure,1,Foongus,1,Fomantis,1,Flaaffy,1,Finneon,1,Feebas,1,Fearow,1,Farfetch'd,1,Espurr,1,Elekid,1,Eelektrik,1,Dustox,1,Dunsparce,1,Drowzee,1,Dodrio,1,Ditto,1,Diglett,1,Dewgong,1,Delphox,1,Delcatty,1,Deerling,1,Darumaka,1,Cubchoo,1,Cryogonal,1,Crabominable,1,Cottonee,1,Clefable,1,Claydol,1,Clawitzer,1,Chingling,1,Chimecho,1,Chimchar,1,Cherrim,1,Carnivine,1,Carbink,1,Camerupt,1,Butterfree,1,Brionne,1,Braviary,1,Blissey,1,Bergmite,1,Bellsprout,1,Beedrill,1,Aurorus,1,Audino,1,Aron,1,Ariados,1,Ampharos,1,Alomomola,1,Abra,1,
1,158,Piplup,7,Beartic,7,Tsareena,5,Shellos,5,Mantyke,5,Clawitzer,5,Vileplume,4,Type: Null,4,Pyroar,4,Misdreavus,4,Mime Jr.,4,Lairon,4,Gyarados,4,Gogoat,4,Furfrou,4,Drilbur,4,Dratini,4,Wurmple,3,Weedle,3,Vigoroth,3,Totodile,3,Sudowoodo,3,Ribombee,3,Panpour,3,Murkrow,3,Mr. Mime,3,Metapod,3,Metang,3,Mamoswine,3,Makuhita,3,Frogadier,3,Delphox,3,Carnivine,3,Carbink,3,Bellsprout,3,Zangoose,2,Yungoos,2,Vaporeon,2,Umbreon,2,Tyranitar,2,Toucannon,2,Talonflame,2,Stufful,2,Starmie,2,Staravia,2,Squirtle,2,Snorlax,2,Slugma,2,Slowbro,2,Slaking,2,Silvally,2,Serperior,2,Scatterbug,2,Salazzle,2,Purugly,2,Purrloin,2,Porygon2,2,Pignite,2,Pidove,2,Oricorio,2,Lucario,2,Kingler,2,Kecleon,2,Joltik,2,Houndour,2,Greninja,2,Golurk,2,Golisopod,2,Foongus,2,Drowzee,2,Doduo,2,Cryogonal,2,Clamperl,2,Chimecho,2,Cherrim,2,Carvanha,2,Bibarel,2,Bergmite,2,Ariados,2,Abra,2,Zigzagoon,1,Yanmega,1,Yamask,1,Weepinbell,1,Walrein,1,Vanilluxe,1,Typhlosion,1,Torterra,1,Togetic,1,Tangrowth,1,Tangela,1,Swanna,1,Stunfisk,1,Staraptor,1,Spinarak,1,Smoochum,1,Slakoth,1,Shiinotic,1,Shellder,1,Shedinja,1,Seedot,1,Salandit,1,Roselia,1,Poliwag,1,Pichu,1,Pangoro,1,Pancham,1,Noctowl,1,Ninetales,1,Nidoran-M,1,Natu,1,Munchlax,1,Meowstic-M,1,Mareanie,1,Magby,1,Machamp,1,Luxray,1,Luxio,1,Litwick,1,Liepard,1,Larvitar,1,Krookodile,1,Krabby,1,Koffing,1,Kirlia,1,Jellicent,1,Hydreigon,1,Horsea,1,Hitmonchan,1,Happiny,1,Grovyle,1,Graveler,1,Gourgeist,1,Gothita,1,Goodra,1,Gliscor,1,Gligar,1,Glameow,1,Glalie,1,Garbodor,1,Gabite,1,Froakie,1,Fraxure,1,Dunsparce,1,Doublade,1,Diglett,1,Dewgong,1,Crabominable,1,Clefable,1,Chatot,1,Butterfree,1,Brionne,1,Baltoy,1,Audino,1,Araquanid,1,Ampharos,1,Alomomola,1,Aipom,1,
2,119,Tsareena,9,Drilbur,9,Beartic,9,Slaking,8,Shellos,7,Ribombee,6,Pyroar,6,Furfrou,6,Tyranitar,5,Type: Null,5,Toucannon,5,Totodile,5,Scatterbug,5,Murkrow,5,Mime Jr.,5,Mamoswine,5,Carnivine,5,Talonflame,4,Slugma,4,Porygon2,4,Frogadier,4,Foongus,4,Dratini,4,Delphox,4,Zigzagoon,3,Yanmega,3,Weepinbell,3,Vileplume,3,Stufful,3,Purrloin,3,Poliwag,3,Panpour,3,Mr. Mime,3,Mantyke,3,Luxray,3,Lucario,3,Lairon,3,Houndour,3,Gyarados,3,Greninja,3,Golisopod,3,Gogoat,3,Glalie,3,Doduo,3,Clawitzer,3,Bergmite,3,Alomomola,3,Abra,3,Zangoose,2,Wurmple,2,Vigoroth,2,Stunfisk,2,Squirtle,2,Slowbro,2,Shiinotic,2,Shedinja,2,Pidove,2,Misdreavus,2,Metapod,2,Metang,2,Litwick,2,Larvitar,2,Jellicent,2,Grovyle,2,Gothita,2,Goodra,2,Fraxure,2,Dewgong,2,Crabominable,2,Clamperl,2,Cherrim,2,Bellsprout,2,Yamask,1,Walrein,1,Vanilluxe,1,Umbreon,1,Torterra,1,Togetic,1,Tentacruel,1,Tangrowth,1,Swanna,1,Starmie,1,Staravia,1,Staraptor,1,Snorlax,1,Silvally,1,Serperior,1,Salazzle,1,Salandit,1,Roselia,1,Primeape,1,Poliwrath,1,Piplup,1,Pichu,1,Pancham,1,Oricorio,1,Makuhita,1,Machamp,1,Liepard,1,Koffing,1,Joltik,1,Hydreigon,1,Gligar,1,Gabite,1,Froakie,1,Ferroseed,1,Dunsparce,1,Ducklett,1,Diglett,1,Clefable,1,Chimecho,1,Chatot,1,Cacnea,1,Bibarel,1,Baltoy,1,Audino,1,Ariados,1,Araquanid,1,Ampharos,1,
3,96,Drilbur,11,Tsareena,10,Slaking,10,Beartic,9,Type: Null,7,Totodile,7,Talonflame,7,Tyranitar,6,Lucario,6,Golisopod,6,Glalie,6,Delphox,6,Alomomola,6,Toucannon,5,Shellos,5,Pyroar,5,Luxray,5,Greninja,5,Furfrou,5,Foongus,5,Carnivine,5,Bergmite,5,Weepinbell,4,Slugma,4,Ribombee,4,Porygon2,4,Murkrow,4,Metang,4,Gyarados,4,Grovyle,4,Dratini,4,Dewgong,4,Zigzagoon,3,Yanmega,3,Vileplume,3,Umbreon,3,Togetic,3,Tangrowth,3,Staraptor,3,Poliwag,3,Pichu,3,Misdreavus,3,Mime Jr.,3,Mamoswine,3,Litwick,3,Gothita,3,Frogadier,3,Fraxure,3,Bibarel,3,Zangoose,2,Walrein,2,Slowbro,2,Silvally,2,Shiinotic,2,Shedinja,2,Poliwrath,2,Mr. Mime,2,Mantyke,2,Machamp,2,Liepard,2,Larvitar,2,Joltik,2,Goodra,2,Gogoat,2,Froakie,2,Crabominable,2,Cherrim,2,Ampharos,2,Abra,2,Yamask,1,Wurmple,1,Vigoroth,1,Tirtouga,1,Teddiursa,1,Staravia,1,Scatterbug,1,Salazzle,1,Purrloin,1,Primeape,1,Piplup,1,Pidove,1,Panpour,1,Pangoro,1,Lairon,1,Koffing,1,Houndoom,1,Ducklett,1,Doduo,1,Diglett,1,Dhelmise,1,Clefable,1,Clawitzer,1,Chatot,1,Cacnea,1,Bellsprout,1,Ariados,1,
4,86,Talonflame,15,Totodile,13,Tsareena,10,Golisopod,10,Alomomola,10,Drilbur,9,Slaking,8,Misdreavus,8,Shellos,7,Lucario,7,Bergmite,7,Beartic,7,Luxray,6,Glalie,6,Delphox,6,Weepinbell,5,Toucannon,5,Pyroar,5,Pichu,5,Litwick,5,Larvitar,5,Gothita,5,Fraxure,5,Carnivine,5,Zangoose,4,Slugma,4,Silvally,4,Shedinja,4,Mantyke,4,Dewgong,4,Yanmega,3,Vileplume,3,Tyranitar,3,Type: Null,3,Togetic,3,Ribombee,3,Primeape,3,Poliwag,3,Murkrow,3,Grovyle,3,Furfrou,3,Foongus,3,Ariados,3,Zigzagoon,2,Wurmple,2,Umbreon,2,Tangrowth,2,Staraptor,2,Slowbro,2,Salazzle,2,Piplup,2,Mamoswine,2,Machamp,2,Liepard,2,Joltik,2,Houndoom,2,Gyarados,2,Greninja,2,Goodra,2,Frogadier,2,Ducklett,2,Diglett,2,Crabominable,2,Wailmer,1,Vigoroth,1,Vibrava,1,Togepi,1,Tirtouga,1,Timburr,1,Teddiursa,1,Spearow,1,Serperior,1,Scatterbug,1,Purrloin,1,Porygon2,1,Poliwrath,1,Poliwhirl,1,Pidove,1,Mime Jr.,1,Metang,1,Lairon,1,Gogoat,1,Clawitzer,1,Bibarel,1,Barboach,1,Ampharos,1,
